x,y,z,x_dot,y_dot,z_dot,th1,th2,d3,th1_dot,th2_dot,d3_dot,measured_th1,measured_th2,measured_d3,measured_th1_dot,measured_th2_dot,measured_d3_dot,eff_1,eff_2,eff_3,time
0.16,0.12,-0.08,0.0,0.0,0.0,0.179899634083,0.60989450193,0.0734241612952,0.0,0.0,0.0,0.181255,0.609251,0.073047,-1.2e-05,0.016691,0.000166,-0.146387,0.016691,1.58278,-0.009
0.16,0.119999980742,-0.0799999951856,0.0,-2.87997686761e-06,7.19994216902e-07,0.179899606501,0.609894432714,0.0734241484264,-4.12487679569e-06,-1.03512466012e-05,-1.92452853298e-06,0.181255,0.609251,0.073047,-1.2e-05,0.016691,0.000166,-0.146387,0.016691,1.58278,-0.009
0.16,0.119999846402,-0.0799999616006,0.0,-1.14736892323e-05,2.86842230807e-06,0.179899414091,0.609893949867,0.0734240586544,-1.64333141583e-05,-4.12389053963e-05,-7.66722405388e-06,0.181254,0.609252,0.07305,-1.3e-05,0.016689,0.000166,-0.146391,0.016689,1.569559,0.011
0.16,0.119999483169,-0.0799998707922,0.0,-2.5712018764e-05,6.42800469101e-06,0.179898893846,0.609892644327,0.0734238159261,-3.68263245036e-05,-9.24147389014e-05,-1.71818737726e-05,0.181254,0.609252,0.073054,-2.4e-05,0.016672,0.000167,-0.1464,0.016672,1.556167,0.031
0.16,0.119998778614,-0.0799996946535,0.0,-4.55261258358e-05,1.13815314589e-05,0.17989788474,0.609890111994,0.073423345113,-6.52053422527e-05,-0.000163631819305,-3.04224195133e-05,0.181253,0.609251,0.073057,-4.2e-05,0.016642,0.000168,-0.146413,0.016642,1.542306,0.051
0.16,0.119997621686,-0.0799994054216,0.0,-7.08474495234e-05,1.77118623808e-05,0.179896227715,0.609885953701,0.0734225720084,-0.000101472222013,-0.000254644692177,-4.73429208796e-05,0.181252,0.609249,0.07306,-6.9e-05,0.0166,0.000169,-0.14643,0.0166,1.527674,0.071
0.16,0.119995902705,-0.0799989756762,0.0,-0.000101607707606,2.54019269014e-05,0.179893765678,0.609879775187,0.073421423325,-0.000145529251313,-0.000365209416486,-6.78975629853e-05,0.181251,0.609245,0.073064,-0.000103,0.016547,0.000172,-0.146451,0.016547,1.511974,0.091
0.16,0.119993513355,-0.0799983783388,0.0,-0.000137738896564,3.44347241411e-05,0.17989034349,0.60987118706,0.0734198266924,-0.00019727916515,-0.000495083862916,-9.20406309888e-05,0.181248,0.609239,0.073067,-0.000145,0.016484,0.000174,-0.146475,0.016484,1.494911,0.111
0.16,0.119990346682,-0.0799975866706,0.0,-0.000179173291584,4.47933228961e-05,0.179885807956,0.609859804763,0.0734177106558,-0.000256625149632,-0.000644027662929,-0.00011972647917,0.181245,0.60923,0.07307,-0.000195,0.01641,0.000177,-0.146504,0.01641,1.476195,0.131
0.16,0.119986297086,-0.0799965742715,0.0,-0.000225843446553,5.64608616383e-05,0.179880007816,0.609845248537,0.0734150046745,-0.000323470798321,-0.000811802397948,-0.00015090953093,0.18124,0.609218,0.073074,-0.000253,0.016326,0.00018,-0.146537,0.016326,1.455539,0.151
