x,y,z,x_dot,y_dot,z_dot,th1,th2,d3,th1_dot,th2_dot,d3_dot,measured_th1,measured_th2,measured_d3,measured_th1_dot,measured_th2_dot,measured_d3_dot,eff_1,eff_2,eff_3,time
0.16,0.05,-0.08,0.0,0.0,0.0,-0.179899634083,-0.283318590357,0.0427230582317,0.0,0.0,0.0,0.0427730170902,-0.181262950633,-0.284223341942,-0.000534620263707,0.135379474401,0.00349021813498,-0.202966118497,0.135379474401,0.0508399976976,13.62
0.16,0.0499835164319,-0.079991758216,0.0,-0.000479600249861,0.000239800124931,-0.17985241583,-0.283236103358,0.042714764816,-0.00139656096833,0.00243184764522,-0.00022179121741,0.0427730170902,-0.181262950633,-0.284223341942,-0.000534620263707,0.135379474401,0.00349021813498,-0.202966118497,0.135379474401,0.0508399976976,13.62
0.16,0.0498721926961,-0.079936096348,0.0,-0.00183930026379,0.000919650131895,-0.179533483497,-0.282678804675,0.04265879391,-0.00535677109623,0.00933211889634,-0.000849504128539,-0.180932038117,-0.28335674398,0.0427293501753,-0.0339132272132,0.133078182325,-0.00110791122187,-0.278191578744,0.133078182325,0.0536069991841,13.8
0.16,0.0495821276363,-0.0797910638181,0.0,-0.00396419581526,0.00198209790763,-0.17870216083,-0.281224965779,0.0425132810954,-0.0115501480455,0.0201459006998,-0.00182483771249,-0.178361307872,-0.278539107033,0.0423342926635,-0.024932829472,0.143402509923,-0.00282206670353,-0.262877329053,0.143402509923,0.0556841811842,14.0
0.16,0.0490408901277,-0.0795204450638,0.0,-0.00674437851367,0.00337218925684,-0.177149774319,-0.278505497226,0.0422430252229,-0.0196658578387,0.0343781133543,-0.00308529690672,-0.172058307989,-0.26736731544,0.0413627325246,-0.0274045868992,0.134159863441,-0.00567823692063,-0.258431430977,0.134159863441,0.0586857114279,14.2
0.16,0.0481870092979,-0.079093504649,0.0,-0.0100749358044,0.00503746790219,-0.174697472077,-0.274197365125,0.0418200065822,-0.0294133461828,0.0515980572923,-0.00456310987775,-0.161052723657,-0.2478555161,0.0396941435277,-0.0379870876764,0.153076459865,-0.00579927748454,-0.211727954571,0.153076459865,0.062956064493,14.4
0.16,0.0469694647477,-0.0784847323738,0.0,-0.0138559509686,0.00692797548432,-0.17119402745,-0.268016893786,0.0412239688169,-0.0405219090299,0.0714369762202,-0.00618520015655,-0.144299738424,-0.218511697984,0.0373293689548,-0.0283917784099,0.145999301881,-0.0103569035478,-0.166983129649,0.145999301881,0.0663495143617,14.6
0.16,0.0453471767716,-0.0776735883858,0.0,-0.0179925031237,0.00899625156185,-0.166513748388,-0.259713623766,0.0404429730576,-0.052739437191,0.0935799778957,-0.00787390905911,-0.121933199208,-0.178080781834,0.0343856620492,-0.0342245333447,0.150651573388,-0.00746328537772,-0.169318352258,0.150651573388,0.0712209403279,14.8
0.16,0.043288496579,-0.0766442482895,0.0,-0.0223946672227,0.0111973336113,-0.1605545855,-0.249065266389,0.0394738614459,-0.0658305771689,0.117753423467,-0.00954824334405,-0.0938920796949,-0.125773409255,0.0311443596788,-0.0283837221206,0.15280625256,-0.0102355798495,-0.189414490925,0.15280625256,0.0756296750837,15.0
0.16,0.0407706965151,-0.0753853482575,0.0,-0.0269775140547,0.0134887570273,-0.153236504851,-0.235874196371,0.0383225863222,-0.0795745574254,0.143708689101,-0.0111254983953,-0.0604755939589,-0.0614796492778,0.0280095389336,0.206178306288,0.153517422003,-0.00796938945154,-0.158259503955,0.153517422003,0.0797607167189,15.2
0.16,0.0377794602811,-0.0738897301406,0.0,-0.0316611102447,0.0158305551224,-0.144500166161,-0.21996584823,0.0370043716653,-0.0937629297812,0.171203070429,-0.0125231710951,-0.0226027517787,0.0140279369092,0.0254359865591,0.332965655687,0.151604261417,-0.00163292350428,-0.0643308393599,0.151604261417,0.0833476274765,15.4
0.16,0.0343083731559,-0.072154186578,0.0,-0.0363705182538,0.0181852591269,-0.134305922862,-0.201189317375,0.0355436763042,-0.108197464307,0.199978602583,-0.0136611242461,0.018970005479,0.0987500423378,0.0238644997743,0.464226535297,0.151243680357,0.00838558984319,-0.000457412738384,0.151243680357,0.0852429928841,15.6
0.16,0.0303584122161,-0.0701792061081,0.0,-0.0410357963787,0.0205178981894,-0.122633137632,-0.179420392842,0.0339739258328,-0.122688407601,0.229739763902,-0.0144639925351,0.063215566845,0.189380680057,0.0236645889281,0.581975040237,0.153107051787,0.0215316219761,0.128504517908,0.153107051787,0.085342789781,15.8
0.16,0.0259374365575,-0.0679687182787,0.0,-0.0455919987524,0.0227959993762,-0.109479785118,-0.15456713776,0.0323369743307,-0.13705326339,0.260131457343,-0.014863825791,0.108961037842,0.281638179281,0.0251677078948,0.669830383954,0.149302472371,0.0331164938701,0.229137144522,0.149302472371,0.0827781475129,16.0
0.16,0.0210596775153,-0.0655298387577,0.0,-0.0499791753436,0.0249895876718,-0.0948622929052,-0.126577953388,0.030682250868,-0.151116177047,0.290719313465,-0.0148029463898,0.155091932816,0.371132182225,0.0283357105233,0.711927987662,0.138951481555,0.0413719641793,0.164326248688,0.138951481555,0.0804889820577,16.2
0.16,0.0157452288855,-0.0628726144428,0.0,-0.054142371957,0.0270711859785,-0.0788155522672,-0.0954517824787,0.0290655431259,-0.164707902993,0.320975148386,-0.0142369532637,0.200391604715,0.453978548928,0.0330650451174,0.715370537893,0.125560567791,0.0462689683117,0.2142905825,0.125560567791,0.0770198199067,16.4
0.16,0.0100195371454,-0.0600097685727,0.0,-0.0580316302332,0.0290158151166,-0.0613930126938,-0.0612497120847,0.0275473759603,-0.17766621699,0.35027114041,-0.0131377375628,0.24371283543,0.527563174057,0.0389595538147,0.685547016524,0.138553907976,0.047422122837,0.229187685997,0.138553907976,0.0667245495663,16.6
0.16,0.00391289167427,-0.0569564458371,0.0,-0.0616019876488,0.0308009938244,-0.0426667596198,-0.0241067424941,0.026190961445,-0.18983652959,0.377886628067,-0.0114962928732,0.284101772875,0.59047238321,0.0455888531589,0.575721969424,0.119357127717,0.0462350817617,0.297939675532,0.119357127717,0.0548678193922,16.8
0.16,-0.00254008502529,-0.0537299574874,0.0,-0.0648134775164,0.0324067387582,-0.0227274647454,0.0157580295119,0.0250597331373,-0.201072402224,0.40303094996,-0.00932502195462,0.320824368307,0.642437718222,0.0524253970003,0.458832719775,0.0242795591865,0.0420293754935,0.334757388794,0.0242795591865,0.0455354725299,17.0
0.16,-0.00930094710705,-0.0503495264465,0.0,-0.0676311289843,0.0338155644922,-0.00168409483636,0.0580349681823,0.0242145323041,-0.211235708967,0.424884042324,-0.00665918557738,0.352957502667,0.684062018384,0.0589864654471,0.387379886831,-0.00725612108196,0.0411577434386,0.377064452718,-0.00725612108196,0.0361597010605,17.2
