x,y,z,x_dot,y_dot,z_dot,th1,th2,d3,th1_dot,th2_dot,d3_dot,measured_th1,measured_th2,measured_d3,measured_th1_dot,measured_th2_dot,measured_d3_dot,eff_1,eff_2,eff_3,time
0.16,0.05,-0.08,0.0,0.0,0.0,0.179899634083,0.283318590357,0.0427830582317,0.0,0.0,0.0,0.180803,0.283276,0.042839,0.00171339137899,-0.017592,-3.45496818727e-05,-0.095321,-0.017592,-0.236853,-0.008
0.16,0.0499979698841,-0.0799989849421,0.0,-0.000119975513952,5.9987756976e-05,0.179893818763,0.283308431699,0.042782036733,-0.00034367365879,-0.000600358645897,-6.03677108302e-05,0.180803,0.283276,0.042839,0.00171339137899,-0.017592,-3.45496818727e-05,-0.095321,-0.017592,-0.236853,-0.008
0.16,0.0499840058894,-0.0799920029447,0.0,-0.000470158105279,0.000235079052639,0.179853817934,0.283238552816,0.0427750110561,-0.00134681805503,-0.00235287216492,-0.000236531428527,0.1808,0.283265,0.042839,0.00155741150561,-0.01761,-4.34210013448e-05,-0.095304,-0.01761,-0.237276,0.032
0.16,0.0499468460685,-0.0799734230342,0.0,-0.00103615670858,0.000518078354292,0.179747365947,0.283052568514,0.0427563202037,-0.00296838860959,-0.00518652331084,-0.000521064503118,0.18074,0.283142,0.042834,-0.00183720595932,-0.017645,-0.000151873449265,-0.093498,-0.017645,-0.238882,0.092
0.16,0.0498759477242,-0.0799379738621,0.0,-0.00180388007233,0.000901940036166,0.179544242395,0.282697608797,0.0427206807217,-0.00516845472157,-0.00903322175145,-0.000906425470021,0.180666,0.282947,0.042823,-0.00148491720004,-0.017712,-0.000324081942435,-0.093807,-0.017712,-0.240334,0.132
0.16,0.0497614722677,-0.0798807361339,0.0,-0.00275953675885,0.00137976837943,0.179216213523,0.282124158363,0.0426631949125,-0.00790828838944,-0.0138282794505,-0.00138486688957,0.180399,0.282418,0.042785,-0.00544372724975,-0.017647,-0.000788381226878,-0.090014,-0.017647,-0.236976,0.192
0.16,0.0495942700767,-0.0797971350384,0.0,-0.00388963514433,0.00194481757217,0.178736969966,0.28128587553,0.0425793629922,-0.0111504197121,-0.0195107515901,-0.00194836966693,0.180196,0.28188,0.042745,-0.00465357976895,-0.017688,-0.0011316254677,-0.094062,-0.017688,-0.237607,0.232
0.16,0.0493658653526,-0.0796829326763,0.0,-0.00518098341883,0.00259049170941,0.178082062084,0.28013939759,0.0424650980058,-0.0148586761206,-0.026023639366,-0.00258859922178,0.179663,0.280735,0.042657,-0.00858654694441,-0.017768,-0.00165927777612,-0.095114,-0.017768,-0.241738,0.292
0.16,0.0490684409789,-0.0795342204894,0.0,-0.00662068958625,0.00331034479312,0.177228834047,0.278644138895,0.0423167424842,-0.0189981963485,-0.0333139784634,-0.00329687981866,0.179403,0.279703,0.042572,-0.00897127646482,-0.017541,-0.00223684265939,-0.119608,-0.017541,-0.236302,0.332
0.16,0.0486948233789,-0.0793474116895,0.0,-0.00819616146438,0.00409808073219,0.176156357719,0.276762087381,0.0421310859787,-0.0235354211181,-0.0413327999413,-0.00406418414786,0.178421,0.27775,0.042412,-0.0178182724671,-0.017821,-0.00277847943512,-0.119306,-0.017821,-0.24534,0.392
0.16,0.0482384673739,-0.0791192336869,0.0,-0.00989510668486,0.00494755334243,0.174845367276,0.274457604651,0.0419053827532,-0.0284380819649,-0.0500350594521,-0.00488113937899,0.177595,0.276129,0.042275,-0.0212999578468,-0.017938,-0.00339752270762,-0.119054,-0.017938,-0.244098,0.432
0.16,0.0476934410405,-0.0788467205202,0.0,-0.0117055326932,0.00585276634659,0.173278195394,0.271697234221,0.0416373690304,-0.0336751379073,-0.0593793578446,-0.00573803577572,0.176075,0.273164,0.04202,-0.0273656233036,-0.0177,-0.004635618047,-0.118333,-0.0177,-0.231376,0.492
0.16,0.047054410569,-0.0785272052845,0.0,-0.0136157467487,0.00680787337436,0.171438711742,0.26844952208,0.0413252793008,-0.0392167530954,-0.0693277269602,-0.00662485510111,0.174863,0.27083,0.04182,-0.0314251739645,-0.017791,-0.00524716221694,-0.11789,-0.017791,-0.231392,0.532
0.16,0.046316625121,-0.0781583125605,0.0,-0.0156143559247,0.00780717796236,0.169312264405,0.264684853273,0.040967861283,-0.0450342036784,-0.0798452496529,-0.00753129739314,0.172732,0.266743,0.041469,-0.0376610167258,-0.018011,-0.00614674204966,-0.117507,-0.018011,-0.234656,0.592
0.16,0.0454759016875,-0.0777379508437,0.0,-0.0176902671082,0.00884513355412,0.166885624787,0.260375307898,0.0405643891995,-0.0510998368263,-0.0908996611834,-0.00844682008028,0.171085,0.2636,0.041199,-0.0423243617857,-0.018042,-0.00691230340574,-0.11697,-0.018042,-0.231797,0.632
0.16,0.0445286099465,-0.0772643049733,0.0,-0.0198326870002,0.00991634350012,0.164146936423,0.255494539555,0.0401146750806,-0.0573869645596,-0.102460816503,-0.00936067663133,0.168262,0.258231,0.04074,-0.0493832928964,-0.018051,-0.00802334187151,-0.115935,-0.018051,-0.22785,0.692
0.16,0.0434716571213,-0.0767358285606,0.0,-0.0220311221155,0.0110155610578,0.161085668058,0.250017679059,0.0396190778512,-0.0638697817922,-0.114500269294,-0.0102619640529,0.16614,0.254198,0.040397,-0.0543140167611,-0.0181,-0.00874571182267,-0.11549,-0.0181,-0.225457,0.732
